SeniorCitizen,Partner,Dependents,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn,Tenure_Encoded
0,0,0,0,-0.28293051295913996,0.029889221292802377,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,0,0.04899793933678035
0,0,0,0,-0.7807996524312358,0.006553433168160033,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,0,1.1953126330141985
0,0,1,0,-0.3101179062408928,0.7950397962227419,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0,1.1953126330141985
0,0,0,1,1.3670044168272246,0.4111840321786252,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0,0.04899793933678035
0,1,1,0,1.6303822892442035,2.904690779257075,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,1.1953126330141985
0,0,1,0,1.4077855067498537,2.659174354044171,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,0,1.1953126330141985
0,0,0,1,0.8419478840733762,0.017156257926330905,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,0,0.04899793933678035
0,1,0,0,-1.5454450884805293,-0.7777683892364857,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0,0.04899793933678035
0,1,0,1,-0.1826770002326772,0.8032492068142827,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,0,1.1953126330141985
0,1,0,1,0.8487447323938144,2.1743643804516015,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,1.1953126330141985
1,1,0,1,1.0560486061671783,2.3646408066986853,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,0,1.1953126330141985
0,0,0,1,0.3236881996399661,0.8239283052139659,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,1.1953126330141985
0,1,1,1,0.13337644666769766,1.457728310679252,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,0,1.1953126330141985
0,1,1,0,-1.513160058958448,-0.6743728972380704,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0,0.04899793933678035
0,0,0,1,0.4953086197310297,1.4525106677959985,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0,1.1953126330141985
0,0,0,1,0.4919101955708108,1.1444064621257208,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,0,1.1953126330141985
0,1,1,1,-0.03824397342336593,1.1617826489754546,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,0,1.1953126330141985
0,1,1,1,1.1681966034544085,2.1464811054103623,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,0,1.1953126330141985
1,1,1,1,1.4672579295536876,2.512745275329749,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,0,1.1953126330141985
0,1,1,0,-1.3704262442292465,-0.44649593443322966,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,0.04899793933678035
0,0,0,1,1.4349729000316063,2.8848493758157123,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0,1.1953126330141985
0,1,0,0,-0.7875965007516738,0.543276560034934,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,0,1.1953126330141985
0,1,1,1,-0.3695903290447267,-0.416434652500357,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0,0.04899793933678035
0,1,0,1,0.4630235902089488,0.8727778883548838,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0,1.1953126330141985
0,1,1,0,-1.5335506039197626,-0.42897614273349816,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,1.1953126330141985
0,0,0,1,0.4953086197310297,-0.4498227801248453,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0,-1.0973167543406377
0,1,1,1,-1.5250545435192149,-0.35250656010967013,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0,1.1953126330141985
0,1,1,1,-1.3942152133507801,-0.19265042792045356,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,1.1953126330141985
0,0,1,1,-0.026349488862599336,-0.7896636576446366,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0,-1.0973167543406377
0,0,0,0,-0.3271100270419882,0.41252434411193784,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,0,1.1953126330141985
0,1,1,1,-1.3381412147071654,-0.2922164572522609,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0,1.1953126330141985
0,1,1,0,-0.5004296592131615,-0.6039586524558163,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0,-1.0973167543406377
0,1,0,1,-1.5335506039197626,-0.4086560564588096,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,1.1953126330141985
0,1,0,1,-0.10621245662774782,0.18591589081541093,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0.04899793933678035
0,1,0,0,-1.0713649181299674,-0.3914713427424063,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,0.04899793933678035
0,1,1,1,0.6363432223801218,1.8607313880564085,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,0,1.1953126330141985
0,0,0,1,1.5556169577193835,2.5274169041711905,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,0,1.1953126330141985
0,1,1,1,0.053513478902548914,1.3985391783384924,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,0,1.1953126330141985
0,0,0,0,-1.5046639985579002,-0.3445843592181249,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,1.1953126330141985
0,1,1,0,-1.557339573041296,-0.8652716111684778,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0,-1.0973167543406377
0,0,0,0,0.9880801229627967,1.0024770020445628,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,0,1.1953126330141985
0,1,1,0,-1.5590387851214056,-0.22201761974500342,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,1.1953126330141985
0,0,0,0,-0.24894627135694916,0.5816908574093451,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,0,1.1953126330141985
0,1,1,1,-0.36279348072428846,0.7641886876148815,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,0,1.1953126330141985
0,0,0,0,-1.5165584831186671,-0.4748100240244623,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,1.1953126330141985
0,1,0,1,-1.4180041824723137,-0.04935672176431637,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,1.1953126330141985
1,0,0,1,-0.29992263376023537,1.0331366375190927,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,0,1.1953126330141985
0,1,1,0,-1.5318513918396528,-0.26294500199437615,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,1.1953126330141985
0,0,1,1,-1.5522419368009674,-0.314259801726923,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,1.1953126330141985
1,1,1,1,0.7739794008689945,2.2012663556845227,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0,1.1953126330141985
0,1,0,1,1.2157745416974752,1.9837528762211898,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,0,1.1953126330141985
1,1,0,0,-1.4044104858314372,-0.03391920038955298,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,1.1953126330141985
0,1,1,1,1.4570626570730305,2.9216361515568154,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,0,1.1953126330141985
0,0,0,1,0.6414408586204506,-0.0024458040983686854,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.04899793933678035
0,1,1,0,-1.5335506039197626,-0.6735830705630824,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0,0.04899793933678035
0,1,0,0,-1.5420466643203103,-0.22192188317833822,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0,1.1953126330141985
0,1,1,0,-1.5250545435192149,-0.7207333296456931,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0,0.04899793933678035
0,1,0,0,-1.378922304629794,-0.5011136457157258,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0,0.04899793933678035
0,1,0,1,-1.5199569072788863,-0.27527108495252056,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0,1.1953126330141985
0,0,0,0,-0.6788469276246633,-0.852897659927001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,-1.0973167543406377
0,0,0,0,-1.5505427247208579,-0.7574004346784645,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,0,0.04899793933678035
0,1,1,0,-1.547144300560639,-0.21620162332009252,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,1.1953126330141985
0,1,1,0,-1.5624372092816248,-0.30365697696875216,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0,1.1953126330141985
0,1,1,1,-1.3993128495911087,-0.593403695980978,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0,0.04899793933678035
0,0,0,1,1.5658122302000408,2.246310410300499,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,0,1.1953126330141985
0,0,1,0,-1.513160058958448,-0.8646493234851541,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0,-1.0973167543406377
0,1,0,1,1.2446611470593378,0.40883848629532776,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,0,0.04899793933678035
